volumeto,high,low,time,volumefrom,close,open
7793817.62,137.97,121.25,1378339200,60389.71,128.99,132.51
6019581.32,137.48,124,1378598400,45908.61,132.62,128.99
11462504.51,145.9,127.5,1378857600,82202.46,140.66,132.62
3604536.91,142.23,135.04,1379116800,25944.83,139.42,140.66
5534909.59,142,131.14,1379376000,40153.71,135.05,139.42
2949608.31,137.28,131,1379635200,22029.35,134,135.05
3241853.72,138,132,1379894400,24091.86,135,134
6563427.06,143,134.71,1380153600,47333.93,142.5,135
6023250.99,145.81,138.12,1380412800,42301.49,140.3,142.5
20868959.83,141.93,109.7,1380672000,165095.57,136.82,140.3
2351458.94,139,134.1,1380931200,17247.22,135.8,136.82
4690213.29,142.1,135.65,1381190400,33797.27,140.41,135.8
4914628.49,147.65,138.87,1381449600,34442.8,147.53,140.41
13565517.06,162.99,144.2,1381708800,88507.62,152.82,147.53
16696586.78,195.8,150.75,1381968000,97044.49,183.15,152.82
13462484.06,205.5,177.24,1382227200,69384.78,202.99,183.15
35110001.25,233.38,175.3,1382486400,173393.28,197.88,202.99
7243647.29,209.79,186.99,1382745600,36315.85,206.9,197.88
6094460.84,216.5,203.99,1383004800,28778.86,211.17,206.9
4988035.85,226.95,209.71,1383264000,23034.15,224,211.17
25486314.6,272.52,221.95,1383523200,101973.54,264.1,224
59082684.38,394.99,263.6,1383782400,180676.23,367.79,264.1
38865710.87,391.79,289.96,1384041600,114280.06,380.04,367.79
40507110.84,457.92,372.17,1384300800,95547.98,433.92,380.04
67539932.16,787.93,427.98,1384560000,117925.01,785.43,433.92
146971958.16,900.92,453.29,1384819200,229428.34,764.91,785.43
61371079.36,890.03,682.28,1385078400,77412.87,795.01,764.91
87593166.13,1094.78,758.95,1385337600,95854.35,1079.89,795.01
106209618.62,1241.92,1032.06,1385596800,91199.43,1205.66,1079.89
144345112.22,1216.84,840.27,1385856000,136307.43,1154.86,1205.66
132449848.48,1239.86,800.07,1386115200,128258.15,845.02,1154.86
118324689.01,980.03,576.03,1386374400,156498.36,918.95,845.02
53584502.19,1067.7,839.51,1386633600,56376.78,899.98,918.95
40007814.51,989.89,837.98,1386892800,44127.32,919.88,899.98
118362088,924.94,454.86,1387152000,183543,540.98,919.88
63821509.9,774.39,522.44,1387411200,95258.03,640.48,540.98
25551243.23,729.94,614.95,1387670400,37642.9,702.75,640.48
33004710.5,836.83,673.93,1387929600,42758.19,803.05,702.75
23988249.65,818.83,715.6,1388188800,30860.27,804.83,803.05
26784768.82,886.21,770.97,1388448000,32735.92,856.91,804.83
41983620.51,1029.86,839.44,1388707200,45322.22,1014.74,856.91
58318414.22,1093.44,858.9,1388966400,59836.38,938.84,1014.74
30059902.5,1010.84,866.55,1389225600,31948.06,1005.32,938.84
22801615.44,1022.67,879.94,1389484800,24375.13,919.28,1005.32
20371177.81,973.09,867.22,1389744000,22244.1,894.16,919.28
22546674.95,980.54,884.74,1390003200,24018.46,955.95,894.16
12632065.82,974.25,934.95,1390262400,13341.99,944.16,955.95
26535761.09,1038.06,902.89,1390521600,27452.25,1007,944.16
23065207.98,1021.45,911.65,1390780800,24411.49,925.67,1007
13170077.11,969.19,909.46,1391040000,14099.79,940.42,925.67
8347863.4,959.58,900.76,1391299200,8982.27,926.64,940.42
58998157.62,939.75,651.73,1391558400,76064.2,695.65,926.64
53024086.64,719.26,500.04,1391817600,82891.25,582.63,695.65
35644919.43,609.71,451.33,1392076800,66969.38,451.44,582.63
69650921.85,540.03,220.37,1392336000,202617.37,299.8,451.44
39280652.87,411.21,248.31,1392595200,131819.58,261.53,299.8
38562495.36,290.59,91.66,1392854400,256944.3,255.59,261.53
33081015.53,349.15,102.33,1393113600,164094.81,135.78,255.59
1027628.76,650,522.84,1393372800,1606.15,573.94,135.78
1514806.57,695.44,262.77,1393632000,2494.2,662.18,573.94
3170517.7,686.22,636.22,1393891200,4692.62,648.26,662.18
4044266.36,655.2,588.58,1394150400,6453.2,627.05,648.26
5192107.24,640.79,594.7,1394409600,8254.79,619.43,627.05
6851358.57,636.13,609.18,1394668800,10873.02,624.03,619.43
